XJI,20080405153122.0,S
WCH,20080422083221.0,P
HSH,20080408103432.0,S
JMG,20080416021441.0,S
XCO,20080810162544.0,S
WCH,20080422110018.0,P
YGD,20080412085633.0,S
WCH,20080418213829.0,P
MXI,20080421015831.0,P
YGD,20080401210504.0,P
JJS,20080418164932.0,P
WCH,20080419141115.0,P
WCH,20080823085025.0,P
LUYA,20080808150300.0,P
MXI,20080418231503.0,P
MIAX,20080811101819.0,P
PWU,20080404112449.0,S
YGD,20080404134609.0,P
MXI,20080403075838.0,P
MXI,20080420123623.0,P
WCH,20080422151102.0,S
JMG,20080831091037.0,P
YGD,20080421092725.0,P
YGD,20080402083907.0,S
JJS,20080828175851.0,P
JJS,20080817204932.0,P
JJS,20080812215905.0,S
JJS,20080423002625.0,S
MXI,20080823114513.0,P
WCH,20080414235012.0,S
SPA,20080405052314.0,S
WCH,20080422151058.0,P
XCO,20080810091459.0,P
JJS,20080413221602.0,P
WXT,20080810043009.0,S
HSH,20080413162059.0,P
YGD,20080421213834.0,P
XCO,20080831163450.0,S
HSH,20080413223535.0,P
WCH,20080420134038.0,P
WXT,20080831175331.0,S
WCH,20080420133710.0,P
XJI,20080805175011.0,S
XCO,20080401132651.0,P
SPA,20080413091730.0,P
MXI,20080413110233.0,S
WXT,20080830163410.0,P
LUYA,20080810204011.0,P
HSH,20080421075355.0,S
QCH,20080822232846.0,P
YGD,20080413222122.0,P
XCO,20080811070522.0,S
YGD,20080418141127.0,S
MXI,20080402230127.0,P
MXI,20080413120412.0,S
XJI,20080831190311.0,S
SPA,20080405053211.0,P
PWU,20080810123531.0,S
SPA,20080422110619.0,S
MXI,20080802015546.0,P
JJS,20080419153713.0,S
MIAX,20080806041457.0,S
SPA,20080413161435.0,P
WDT,20080822185242.0,P
JMG,20080819014339.0,P
XJI,20080820114404.0,P
QCH,20080830163358.0,S
LUYA,20080817213518.0,S
PWU,20080821143506.0,S
JJS,20080413002326.0,S
WCH,20080418155719.0,S
QCH,20080803230443.0,S
HSH,20080814075617.0,S
MXI,20080409064558.0,P
MXI,20080417061009.0,S
XCO,20080828062347.0,P
MXI,20080814001533.0,P
XCO,20080816121504.0,P
YGD,20080423002317.0,S
YGD,20080421104653.0,S
HSH,20080422192142.0,S
XJI,20080816093012.0,P
HSH,20080421075344.0,P
XCO,20080827094643.0,P
JMG,20080405071209.0,P
MXI,20080828030419.0,P
MXI,20080816041709.0,P
YZP,20080402165541.0,P
YGD,20080416140548.0,P
YGD,20080415015719.0,S
JMG,20080408213728.0,P
PWU,20080420212004.0,S
MIAX,20080819143204.0,S
MXI,20080807213748.0,P
HSH,20080420162107.0,S
SPA,20080405184400.0,S
SPA,20080420092603.0,P
JJS,20080423061301.0,S
XJI,20080406034204.0,S
PWU,20080414114211.0,P
YGD,20080421171149.0,S
XCO,20080824232148.0,P
YGD,20080422204351.0,P
JMG,20080421225246.0,P
YZP,20080420133940.0,P
JJS,20080828032039.0,S
LUYA,20080801041644.0,P
HSH,20080811084939.0,P
HSH,20080402131320.0,P
YGD,20080416041654.0,S
HSH,20080422193003.0,S
PWU,20080806075523.0,P
JMG,20080810150100.0,S
MXI,20080407231208.0,S
HSH,20080814183729.0,S
JJS,20080416071951.0,S
PWU,20080823031856.0,P
LUYA,20080806021939.0,S
JJS,20080422235803.0,S
MIAX,20080801041659.0,S
MXI,20080816223815.0,S
MXI,20080809010641.0,P
JMG,20080421013917.0,S
MXI,20080818073700.0,P
XJI,20080416073905.0,S
JMG,20080421073539.0,P
XCO,20080813003603.0,S
XCO,20080423011009.0,P
PWU,20080404111437.0,P
XJI,20080404083838.0,P
MXI,20080822192457.0,P
JMG,20080816041635.0,P
MXI,20080405154940.0,P
JMG,20080825213010.0,P
XJI,20080408103445.0,P
SPA,20080405045114.0,P
LUYA,20080825213007.0,S
XCO,20080414180751.0,P
MXI,20080826173358.0,P
HSH,20080421155402.0,S
YGD,20080423060543.0,S
MIAX,20080731071912.2,P
YGD,20080422063640.0,P
PWU,20080420102300.0,S
YZP,20080402225153.0,S
MXI,20080816041713.0,P
XCO,20080826221136.0,P
MXI,20080405180750.0,S
JJS,20080411204447.0,P
XJI,20080404183420.0,S
MXI,20080830050831.0,S
YGD,20080422063034.0,S
PWU,20080824172011.0,P
YZP,20080401210533.0,P
XCO,20080802165343.0,P
WCH,20080422090221.0,S
MXI,20080805064530.0,P
SPA,20080413153849.0,S
XJI,20080805072753.0,P
MXI,20080413181848.0,P
YGD,20080423032157.0,P
SPA,20080405054255.0,P
WXT,20080830234457.0,P
WXT,20080831064542.0,P
SPA,20080411101126.0,S
JMG,20080403085913.0,P
WCH,20080419020827.0,P
PWU,20080421163715.0,P
HSH,20080804151627.0,P
JJS,20080411154406.0,P
LUYA,20080804183619.0,S
YGD,20080421132818.0,S
XCO,20080420081750.0,P
MXI,20080802015548.0,S
WXT,20080824064323.0,S
JJS,20080401093717.0,P
HSH,20080802063103.0,S
JMG,20080814182305.0,P
SPA,20080816120546.0,P
YGD,20080421104037.0,P
JMG,20080812105113.0,P
JJS,20080419040918.0,P
YGD,20080401212013.0,S
SPA,20080417141033.0,S
JJS,20080819065832.0,S
MXI,20080824093358.0,S
JJS,20080804220646.0,S
JMG,20080811101726.0,P
YGD,20080422113806.0,S
HSH,20080826020308.0,S
PWU,20080416140416.0,P
SPA,20080404171005.0,S
MXI,20080812021958.0,P
MXI,20080408141551.0,P
WDT,20080821015850.33,P
SPA,20080831163334.0,S
YGD,20080422131519.0,P
YGD,20080401081751.0,P
XCO,20080422220604.0,S
YGD,20080419100527.0,S
YGD,20080405063138.0,S
QCH,20080413172803.0,S
PWU,20080827094533.0,P
JJS,20080418105706.0,P
XJI,20080405192015.0,P
YGD,20080422093121.0,S
MXI,20080413120430.0,S
JMG,20080409212702.0,S
YGD,20080418200752.0,S
YGD,20080415035319.0,P
YGD,20080421082757.0,S
YGD,20080405194458.0,S
PWU,20080401210446.0,P
PWU,20080802070732.0,P
HSH,20080809053603.0,S
SPA,20080405150446.0,S
SPA,20080405053445.0,S
JMG,20080421072219.0,P
QCH,20080828151033.0,P
JJS,20080422200725.0,S
WCH,20080419000330.0,S
XJI,20080802021346.0,P
YGD,20080422122544.0,P
XJI,20080403075225.0,P
WCH,20080420142717.0,P
JMG,20080411192321.0,S
JJS,20080830163218.0,P
PWU,20080819234036.0,P
PWU,20080414154956.0,S
YGD,20080422121512.0,S
MXI,20080420134544.0,S
QCH,20080403075922.0,P
MXI,20080827142645.0,P
YGD,20080421145236.0,S
XJI,20080808063450.0,P
WCH,20080422082909.0,P
SPA,20080827094708.0,P
LUYA,20080828212531.0,P
JMG,20080408162542.0,P
JJS,20080422234248.0,P
JMG,20080421224751.0,S
PWU,20080807041051.0,S
SPA,20080405060838.0,S
LUYA,20080731135638.0,S
MXI,20080419140619.0,S
QCH,20080810091418.0,P
WCH,20080416141904.0,S
PWU,20080420140049.0,S
YGD,20080403032450.0,S
LUYA,20080818184345.0,P
MXI,20080803071847.0,P
SPA,20080405030206.0,S
WXT,20080809084110.0,P
WCH,20080824064354.0,P
YGD,20080419184203.0,P
JJS,20080419103929.0,P
MXI,20080415122351.0,P
JMG,20080419183925.0,S
PWU,20080418100407.0,P
XJI,20080827094017.0,P
MXI,20080815121721.0,S
QCH,20080829142851.0,P
WCH,20080831163243.0,P
JJS,20080401093727.0,S
XJI,20080408161123.0,S
XCO,20080821202734.0,P
QCH,20080808111251.0,S
YGD,20080413121407.0,S
HSH,20080404192030.0,S
SPA,20080806103852.0,S
XCO,20080829235017.0,S
MXI,20080804171835.0,P
XCO,20080422215041.0,S
WCH,20080819065838.0,S
SPA,20080414075435.0,S
PWU,20080422004334.0,P
YGD,20080413121306.0,S
JMG,20080422100244.0,P
YZP,20080413221612.0,S
SPA,20080413145904.0,P
XJI,20080413153759.0,P
XCO,20080806124749.0,S
MIAX,20080828212811.0,P
XJI,20080831144353.0,P
WXT,20080802000336.0,P
HSH,20080804151630.0,S
YGD,20080420082753.0,S
JJS,20080422182955.0,P
YGD,20080422161249.0,S
HSH,20080801231204.0,S
YGD,20080406064713.0,P
WCH,20080418221132.0,P
YGD,20080422204357.0,S
MXI,20080824231920.0,S
PWU,20080813164556.0,P
JMG,20080816133836.0,S
MXI,20080409064603.0,S
JMG,20080831201815.0,S
SPA,20080403011751.0,S
SPA,20080403075936.0,P
YGD,20080419144303.0,P
PWU,20080829135357.0,P
MXI,20080415180626.0,P
JJS,20080422150620.0,S
XCO,20080824001549.0,P
MXI,20080419114736.0,P
XJI,20080408193942.0,S
SPA,20080825105657.0,P
HSH,20080413134949.0,S
YGD,20080422025803.0,S
MIAX,20080825212650.0,P
YGD,20080420212023.0,P
JJS,20080422234311.0,S
PWU,20080419113220.0,P
PWU,20080404111954.0,S
HSH,20080825004127.0,S
JJS,20080421085010.0,S
SPA,20080418010153.0,P
HSH,20080407105037.0,P
WXT,20080805045945.0,P
PWU,20080814203040.0,S
YZP,20080417215906.0,P
JJS,20080419050106.0,P
MXI,20080811154523.0,S
JJS,20080820183204.0,S
YGD,20080422065816.0,P
JMG,20080403075146.0,S
JMG,20080403075742.0,S
MXI,20080826235214.0,S
YGD,20080421094049.0,P
HSH,20080806075619.0,P
WXT,20080819065905.0,S
JMG,20080421023827.0,S
YGD,20080423005241.0,S
YGD,20080414134604.0,P
MXI,20080812034819.0,P
MXI,20080420112931.0,P
QCH,20080801071330.0,S
SPA,20080815183148.0,S
HSH,20080421083839.0,P
MXI,20080817031407.0,P
QCH,20080821015822.0,P
MXI,20080419025533.0,S
YGD,20080406071636.0,P
PWU,20080409193557.0,P
MIAX,20080810233043.0,P
PWU,20080806020831.0,P
WCH,20080422220445.0,S
WCH,20080423020622.0,P
JJS,20080422175325.0,P
YGD,20080423021644.0,S
XJI,20080416072909.0,S
QCH,20080801155823.0,S
SPA,20080405133148.0,S
XJI,20080803110548.0,P
PWU,20080802122344.0,S
PWU,20080814223331.0,S
JJS,20080422225255.0,S
MXI,20080828032021.0,S
XCO,20080802124807.0,P
QCH,20080812163706.0,P
XJI,20080820035244.0,P
SPA,20080409045537.0,P
JMG,20080809000444.0,P
SPA,20080405165932.0,P
YGD,20080401212137.0,P
SPA,20080413094823.0,S
YGD,20080422033412.0,S
MXI,20080419141419.0,S
WCH,20080422081749.0,P
MXI,20080826053349.0,P
WCH,20080818190657.0,S
SPA,20080404170936.0,S
YGD,20080422050940.0,P
MXI,20080802124719.0,S
QCH,20080830133647.0,S
JJS,20080806083149.0,P
JMG,20080818184311.0,S
YGD,20080422032856.0,S
YZP,20080411100056.0,S
SPA,20080810163058.0,P
YGD,20080422185105.0,S
HSH,20080422184355.0,S
PWU,20080418091418.0,S
YZP,20080418165224.0,P
XCO,20080422113810.0,P
YGD,20080422095316.0,S
JMG,20080405021250.0,P
SPA,20080414211723.0,S
HSH,20080408103453.0,P
WCH,20080422081648.0,S
JJS,20080403075326.0,P
JJS,20080805045941.0,P
HSH,20080824190258.0,P
WCH,20080422082951.0,P
JJS,20080413221617.0,S
SPA,20080818102300.0,P
PWU,20080806103814.0,P
JMG,20080412015728.0,S
QCH,20080811203530.0,S
SPA,20080423024258.0,P
WXT,20080823084110.0,P
XCO,20080818050116.0,P
MXI,20080827184458.0,S
MXI,20080409012222.0,S
YZP,20080422140728.0,S
JMG,20080821045420.0,P
HSH,20080808082535.0,P
MXI,20080808054854.0,P
SPA,20080830163346.0,S
PWU,20080822135616.0,S
JJS,20080808172446.0,S
HSH,20080810123846.0,S
HSH,20080806001311.0,S
QCH,20080820141600.0,P
QCH,20080812033431.0,S
WCH,20080420100701.0,S
JMG,20080803200500.0,P
XCO,20080422095220.0,S
JJS,20080420211941.0,S
HSH,20080406083427.0,P
WXT,20080807175345.0,P
WCH,20080413120610.0,S
WCH,20080827214033.0,P
MXI,20080408123625.0,P
SPA,20080406062313.0,S
XJI,20080414235150.0,P
HSH,20080412072201.0,P
YGD,20080405163327.0,S
JJS,20080422171443.0,P
MXI,20080420131306.0,S
MXI,20080831063701.0,P
YGD,20080414180907.0,P
YGD,20080421144626.0,S
QCH,20080801195803.0,P
WXT,20080731181826.0,P
JMG,20080415182904.0,S
XJI,20080403075146.0,S
PWU,20080420145703.0,S
XCO,20080815090836.0,P
PWU,20080808111901.0,S
QCH,20080810162617.0,S
JMG,20080402003439.0,P
YGD,20080403043153.0,S
JJS,20080422140727.0,S
MXI,20080420134306.0,P
HSH,20080404222837.0,S
XJI,20080419141205.0,P
JJS,20080815183532.0,P
JJS,20080420024541.0,P
YGD,20080422084216.0,P
PWU,20080816120550.0,P
SPA,20080419021600.0,S
MXI,20080815001613.0,P
MIAX,20080811233122.0,S
QCH,20080408113635.0,S
XJI,20080421121651.0,P
JJS,20080413140613.0,S
YGD,20080416071340.0,P
JMG,20080809002358.0,P
PWU,20080817213427.0,P
YGD,20080402063026.0,P
WCH,20080830163230.0,S
SPA,20080416142449.0,S
PWU,20080814215030.0,P
JJS,20080809201141.0,S
QCH,20080414234418.0,P
JMG,20080408200038.0,S
SPA,20080420234614.0,P
SPA,20080417184741.0,S
YGD,20080421144755.0,S
MXI,20080419004225.0,P
WCH,20080422184718.0,S
PWU,20080825033559.0,S
XCO,20080819060543.0,P
MXI,20080420134519.0,S
XCO,20080401210558.0,P
JJS,20080815225232.0,S
WDT,20080818140810.0,S
YGD,20080417033228.0,P
HSH,20080825210421.0,P
XJI,20080416141658.0,P
PWU,20080421175228.0,P
WCH,20080422083151.0,S
